trainset_id,advertiser,contract_ref,wrap_start,wrap_end,min_daily_exposure_km,priority,status
TS-01,Malabar Gold & Diamonds,BR-TS-01-202608,2026-08-05,2026-10-04,350,High,Active
TS-02,FreshCola Beverages,BR-TS-02-202608,2026-08-15,2026-09-29,350,High,Active
TS-03,N/A,N/A,N/A,N/A,0,None,No active contract
TS-04,N/A,N/A,N/A,N/A,0,None,No active contract
TS-05,OrbitMobile Networks,BR-TS-05-202608,2026-08-17,2026-11-15,200,Medium,Active
TS-06,Kerala Tourism Board,BR-TS-06-202608,2026-08-08,2026-10-07,200,Medium,Active
TS-07,N/A,N/A,N/A,N/A,0,None,No active contract
TS-08,N/A,N/A,N/A,N/A,0,None,No active contract
TS-09,N/A,N/A,N/A,N/A,0,None,No active contract
TS-10,GreenLeaf Tea Co.,BR-TS-10-202608,2026-08-02,2026-10-01,200,Medium,Active
TS-11,Malabar Gold & Diamonds,BR-TS-11-202608,2026-08-08,2026-09-07,300,High,Active
TS-12,N/A,N/A,N/A,N/A,0,None,No active contract
TS-13,N/A,N/A,N/A,N/A,0,None,No active contract
TS-14,SwiftBank Kerala,BR-TS-14-202608,2026-08-02,2026-10-01,250,Medium,Active
TS-15,OrbitMobile Networks,BR-TS-15-202608,2026-08-17,2026-09-16,300,High,Active
TS-16,SwiftBank Kerala,BR-TS-16-202607,2026-07-24,2026-09-22,300,High,Active
TS-17,Kerala Tourism Board,BR-TS-17-202607,2026-07-25,2026-08-24,200,Medium,Active
TS-18,N/A,N/A,N/A,N/A,0,None,No active contract
TS-19,Kerala Tourism Board,BR-TS-19-202607,2026-07-29,2026-09-12,250,Medium,Active
TS-20,N/A,N/A,N/A,N/A,0,None,No active contract
TS-21,N/A,N/A,N/A,N/A,0,None,No active contract
TS-22,Malabar Gold & Diamonds,BR-TS-22-202607,2026-07-26,2026-10-24,250,Medium,Active
TS-23,N/A,N/A,N/A,N/A,0,None,No active contract
TS-24,N/A,N/A,N/A,N/A,0,None,No active contract
TS-25,N/A,N/A,N/A,N/A,0,None,No active contract
